,Name,Party,MP,Twitter_id,Følgere
150,Britt Bager,Det Konservative Folkeparti (KF),Medlem af Folketinget,@brittbager,3.380
151,Birgitte Bergman,Det Konservative Folkeparti (KF),Medlem af Folketinget,@BirgitteBergman,1.564
152,Niels Flemming Hansen,Det Konservative Folkeparti (KF),Medlem af Folketinget,@NielsFlemming01,648
153,Rasmus Jarlov,Det Konservative Folkeparti (KF),Medlem af Folketinget,@RasmusJarlov,21.248
154,Mona Juul,Det Konservative Folkeparti (KF),Medlem af Folketinget,@JuulMona,4.170
155,Naser Khader,Det Konservative Folkeparti (KF),Medlem af Folketinget,None,None
156,Brigitte Klintskov Jerkel,Det Konservative Folkeparti (KF),Medlem af Folketinget,@JerkelK,None
157,Marcus Knuth,Det Konservative Folkeparti (KF),Medlem af Folketinget,@MarcusKnuth1,1.502
158,Per Larsen,Det Konservative Folkeparti (KF),Medlem af Folketinget,@PerLarsenC,1.410
159,Mai Mercado,Det Konservative Folkeparti (KF),Medlem af Folketinget,@_MaiMercado,14.353
160,Søren Pape Poulsen,Det Konservative Folkeparti (KF),Medlem af Folketinget,@SorenPape,61.615
161,Lars Boje Mathiesen,Nye Borgerlige (NB),Medlem af Folketinget,@LBMathiesen,4.644
162,Peter Seier Christensen,Nye Borgerlige (NB),Medlem af Folketinget,@peter_seier,1.285
163,Mette Thiesen,Nye Borgerlige (NB),Medlem af Folketinget,@ThiesenMette,4.016
164,Pernille Vermund,Nye Borgerlige (NB),Medlem af Folketinget,@PernilleVermund,16.282
165,Henrik Dahl,Liberal Alliance (LA),Medlem af Folketinget,@SociologenHD,8.050
166,Ole Birk Olesen,Liberal Alliance (LA),Medlem af Folketinget,@olebirkolesen,12.526
167,Alex Vanopslagh,Liberal Alliance (LA),Medlem af Folketinget,@AlexVanopslagh,16.964
168,Torsten Gejl,Alternativet (ALT),Medlem af Folketinget,@TorstenGejl,4.527
169,Jens Rohde,Kristendemokraterne (KD),Medlem af Folketinget,@rohde_jens,12.774
170,Aaja Chemnitz Larsen,Inuit Ataqatigiit (IA),Medlem af Folketinget,@AajaCL,1.176
171,Aki-Matilda Høegh-Dam,Siumut (SIU),Medlem af Folketinget,@AkiMati_Siumut,None
172,Edmund Joensen,Sambandsflokkurin (SP),Medlem af Folketinget,None,None
173,Sjúrður Skaale,Javnaðarflokkurin (JF),Medlem af Folketinget,@SjurSkaale,None
174,Simon Emil Ammitzbøll-Bille,Uden for folketingsgrupperne (UFG),Medlem af Folketinget,@ammitzbollbille,38.392
175,Uffe Elbæk,Uden for folketingsgrupperne (UFG),Medlem af Folketinget,@uffeelbaek,None
176,Lars Løkke Rasmussen,Uden for folketingsgrupperne (UFG),Medlem af Folketinget,@larsloekke,198.345
177,Sikandar Siddique,Uden for folketingsgrupperne (UFG),Medlem af Folketinget,@SikandaSIDDIQUE,4.494
178,Inger Støjberg,Uden for folketingsgrupperne (UFG),Medlem af Folketinget,None,None
179,Susanne Zimmer,Uden for folketingsgrupperne (UFG),Medlem af Folketinget,@Susanne_Zimmer_,1.570
180,Orla Østerby,Uden for folketingsgrupperne (UFG),Medlem af Folketinget,@orlaosterby,596
