,Unnamed: 0,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
92,12,Morten Messerschmidt,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@MrMesserschmidt,27.870,1,1585
93,13,Hans Kristian Skibby,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@Hans_Kr_Skibby,2.833,1,1133
94,14,Peter Skaarup,Dansk Folkeparti (DF),Blue,Medlem af Folketinget,@skaarup_df,14.146,1,2542
95,15,Kirsten Normann Andersen,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@KirstenNormann,4.042,0,1086
96,16,Lisbeth Bech-Nielsen,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@LisbethBNielsen,10.453,0,972
97,17,Anne Valentina Berthelsen,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@AnneValentina,1.786,0,149
98,18,Astrid Carøe,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@AstridCaroee,1.866,0,94
99,19,Karina Lorentzen Dehnhardt,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@MF_K_Lorentzen,None,0,943
100,20,Pia Olsen Dyhr,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@PiaOlsen,56.368,0,587
101,21,Karsten Hønge,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@khoenge,8.200,0,157
102,22,Jacob Mark,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@jacobmark_sf,15.498,0,688
103,23,Signe Munk,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@signe_munk,4.542,0,705
104,24,Charlotte Broman Mølbæk,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@charlottebroman,None,0,376
105,25,Rasmus Nordqvist,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@rasmusnordqvist,None,0,790
106,26,Halime Oguz,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@Halime9Oguz,761,0,17
107,27,Trine Torp,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@TrineTorp,3.803,0,642
108,28,Carl Valentin,Socialistisk Folkeparti (SF),Red,Medlem af Folketinget,@Carl__Valentin,4.072,0,1080
109,29,Anne Sophie Callesen,Radikale Venstre (RV),Red,Medlem af Folketinget,@FrkCallesen,1.625,0,250
110,0,Kristian Hegaard,Radikale Venstre (RV),Red,Medlem af Folketinget,@KHegaard,11.911,0,1143
111,1,Marianne Jelved,Radikale Venstre (RV),Red,Medlem af Folketinget,@mariannejelved,5.583,0,59
